id_proposicao;ano;tipo;numero;assunto;autores;cod_situacao;
303153;2022;PL;618;Dispõe sobre o exercício da profissão de Podólogo e dá outras providências.;[('José Mentor', 10000, 'Deputado')];None;
587207;2022;PL;1367;Dispõe sobre a prestação dos serviços de controle integrado de vetores e pragas urbanas por empresas especializadas, e dá outras providências.;[('Laercio Oliveira', 10000, 'Deputado')];907;
597587;2022;PL;3062;Altera a redação dos arts. 14, 17 e 18 da Lei nº 11.794, de 8 de outubro de 2008, para dispor sobre a vedação da utilização de animais em atividades de ensino, pesquisas e testes laboratoriais com substâncias para o desenvolvimento de produtos de uso cosmético em humanos e aumentar os valores de multa nos casos de violação de seus dispositivos.;[('Ricardo Izar', 10000, 'Deputado')];None;
996806;2022;PL;1637;Dispõe sobre a avaliação psicológica de gestantes e puérperas.;[('Célio Silveira', 10000, 'Deputado')];907;
2053152;2022;PL;2053;Institui o Dia Nacional das Tradições das Raízes de Matrizes Africanas e Nações do Candomblé.;[('Vicentinho', 10000, 'Deputado')];1140;
2313792;2022;PL;13;Determina às empresas de transporte de passageiros a implantação de rastreamento no transporte de PETs – animais de estimação;[('Alencar Santana Braga', 10000, 'Deputado'), ('Carlos Veras', 10000, 'Deputado'), ('Odair Cunha', 10000, 'Deputado')];924;
2313793;2022;PL;15;Altera a Lei nº 10.260, de 20 de
julho de 2001, que dispõe sobre o
Fundo de Financiamento ao
estudante do Ensino Superior,
para conceder desconto na
quitação antecipada das parcelas
do FIES.;[('Pompeo de Mattos', 10000, 'Deputado')];925;
2313794;2022;PL;16;Estabelece medidas no enfrentamento da corrupção nos órgãos da administração pública direta e indireta, e dá outras providências;[('Alexandre Frota', 10000, 'Deputado')];925;
2313795;2022;PL;17;Declara a pratica esportiva do surfe como Patrimônio Cultural e Imaterial do Brasil;[('Alexandre Frota', 10000, 'Deputado')];907;
2313796;2022;PL;18;Estabelece a proibição de organização com o objetivo de difundir ideias nazistas, segregacionistas, discriminatórias, preconceituosas, eugênicas e propagação de violência ou ódio, seja em qualquer meio de comunicação e dá outras providencias.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313797;2022;PL;19;Dispõe sobre medidas emergenciais de amparo aos agricultores familiares para mitigar os impactos socioeconômicos da seca e das enchentes que incidem sobre o país desde o ano de 2021, e dá outras providências.;[('Afonso Florence', 10000, 'Deputado'), ('Airton Faleiro', 10000, 'Deputado'), ('Alencar Santana Braga', 10000, 'Deputado'), ('Alexandre Padilha', 10000, 'Deputado'), ('Arlindo Chinaglia', 10000, 'Deputado'), ('Benedita da Silva', 10000, 'Deputado'), ('Beto Faro', 10000, 'Deputado'), ('Bohn Gass', 10000, 'Deputado'), ('Camilo Capiberibe', 10000, 'Deputado'), ('Carlos Veras', 10000, 'Deputado'), ('Carlos Zarattini', 10000, 'Deputado'), ('Célio Moura', 10000, 'Deputado'), ('Daniel Almeida', 10000, 'Deputado'), ('Enio Verri', 10000, 'Deputado'), ('Erika Kokay', 10000, 'Deputado'), ('Frei Anastacio Ribeiro', 10000, 'Deputado'), ('Glauber Braga', 10000, 'Deputado'), ('Gleisi Hoffmann', 10000, 'Deputado'), ('Heitor Schuch', 10000, 'Deputado'), ('Helder Salomão', 10000, 'Deputado'), ('Henrique Fontana', 10000, 'Deputado'), ('Ivan Valente', 10000, 'Deputado'), ('João Daniel', 10000, 'Deputado'), ('Jorge Solla', 10000, 'Deputado'), ('José Airton Félix Cirilo', 10000, 'Deputado'), ('José Guimarães', 10000, 'Deputado'), ('José Ricardo', 10000, 'Deputado'), ('Joseildo Ramos', 10000, 'Deputado'), ('Leo de Brito', 10000, 'Deputado'), ('Leonardo Monteiro', 10000, 'Deputado'), ('Luiza Erundina', 10000, 'Deputado'), ('Luizianne Lins', 10000, 'Deputado'), ('Marcon', 10000, 'Deputado'), ('Maria do Rosário', 10000, 'Deputado'), ('Marília Arraes', 10000, 'Deputado'), ('Merlong Solano', 10000, 'Deputado'), ('Natália Bonavides', 10000, 'Deputado'), ('Nilto Tatto', 10000, 'Deputado'), ('Orlando Silva', 10000, 'Deputado'), ('Padre João', 10000, 'Deputado'), ('Patrus Ananias', 10000, 'Deputado'), ('Paulão', 10000, 'Deputado'), ('Paulo Guedes', 10000, 'Deputado'), ('Paulo Pimenta', 10000, 'Deputado'), ('Paulo Teixeira', 10000, 'Deputado'), ('Pedro Uczai', 10000, 'Deputado'), ('Perpétua Almeida', 10000, 'Deputado'), ('Professora Marcivania', 10000, 'Deputado'), ('Professora Rosa Neide', 10000, 'Deputado'), ('Reginaldo Lopes', 10000, 'Deputado'), ('Rejane Dias', 10000, 'Deputado'), ('Rogério Correia', 10000, 'Deputado'), ('Rubens Otoni', 10000, 'Deputado'), ('Rubens Pereira Júnior', 10000, 'Deputado'), ('Rui Falcão', 10000, 'Deputado'), ('Sâmia Bomfim', 10000, 'Deputado'), ('Túlio Gadêlha', 10000, 'Deputado'), ('Valmir Assunção', 10000, 'Deputado'), ('Vander Loubet', 10000, 'Deputado'), ('Vicentinho', 10000, 'Deputado'), ('Vilson da Fetaemg', 10000, 'Deputado'), ('Vivi Reis', 10000, 'Deputado'), ('Waldenor Pereira', 10000, 'Deputado'), ('Wolney Queiroz', 10000, 'Deputado'), ('Zé Carlos', 10000, 'Deputado'), ('Zé Neto', 10000, 'Deputado')];907;
2313798;2022;PL;20;Institui o Sistema de Comunicação e Cadastro de Pessoas Desaparecidas e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313799;2022;PL;21;Determina que os hospitais, clínicas e postos de saúde que compõem a rede pública, comuniquem formalmente ao Ministério Público, seja estadual ou federal, casos de vestígios de maus-tratos contra a pessoa idosa.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313800;2022;PL;22;Institui o passaporte vacinal de imunização contra a Covid a ser exigido em todos os órgãos públicos para atendimento presencial do cidadão e dá outras providências;[('Alexandre Frota', 10000, 'Deputado')];None;
2313801;2022;PL;23;Institui a Campanha Check-up Feminino para orientação e prevenção de doenças, no âmbito do SUS e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313802;2022;PL;24;Autoriza o Poder Executivo a criar um sistema virtual que possibilite a célere concessão de medidas protetivas, visando a garantir a segurança das vítimas de violência doméstica e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313804;2022;PL;25;Em todas as praias brasileiras será obrigatório a existência de rampas de acessibilidade para deficientes com acesso ao mar, aos lagos e rios, a responsabilidade será de todas as esferas de governo, Federal, Estadual e Municipal.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313806;2022;PL;26;Dispõe sobre o prazo de validade do Laudo Médico Pericial que atesta o Transtorno do Espectro Autista e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313807;2022;PL;27;Estabelece a obrigatoriedade de apresentação de comprovante de vacinação para as eleições gerais de 2022 e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313809;2022;PL;28;Dispõe sobre o fornecimento de
alimentação escolar aos
professores e demais
profissionais da educação, em
efetivo exercício nas escolas
públicas estaduais e municipais.;[('Pompeo de Mattos', 10000, 'Deputado')];925;
2313812;2022;PL;29;Inclui a vacinação contra a Covid-19 no Programa Nacional de Imunizações (PNI).;[('Dagoberto Nogueira', 10000, 'Deputado')];None;
2313814;2022;PL;30;Dispõe sobre instituição do Programa de Apoio à Oncologia Infantil e Enfermidades Correlacionadas e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313817;2022;PL;31;Institui a obrigatoriedade de vigilantes do sexo feminino nos estabelecimentos de prestação de serviços financeiros e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313819;2022;PL;32;Fica expressamente proibida a edição de qualquer legislação que tenha por objetivo a destruição, exploração e uso inadequado das cavidades subterrâneas no Brasil e dá outras providencias.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313821;2022;PL;34;Institui o passaporte vacinal de imunização contra a Covid para todos os alunos da rede pública ou privada de ensino, seja em escolas, faculdades ou universidades.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313823;2022;PL;35;Assegura às pessoas com deficiência visual o direito de receber de fornecedores de produtos ou serviços e das instituições financeiras, a pedido, os contratos de adesão e demais documentos essenciais para a relação de consumo, com a utilização do Sistema Braille ou outro formato acessível.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313827;2022;PL;37;Dispõe sobre a prioridade das mulheres responsáveis pela unidade familiar ou vítimas de violência doméstica e de baixa renda, nos programas de habitação de interesse social, e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313828;2022;PL;38;Dispõe sobre o reconhecimento do risco da atividade e a efetiva necessidade do porte de arma de fogo para o atirador esportivo integrante de entidade de desporto legalmente constituída nos termos do inciso IX, do art. 5º, da Lei Federal nº 10.826, de 22 de dezembro de 2003 e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313829;2022;PL;40;Autoriza o Poder Executivo Federal regulamentar sobre criação da licença para doação de medula óssea no serviço público.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313830;2022;PL;41;Proíbe o exercício de cargo, emprego ou função pública por pessoa condenada pelo crime de maus-tratos contra animais.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313831;2022;PL;43;Dispõe sobre a obrigatoriedade dos condomínios edilícios disponibilizarem por apartamento, um sistema eletrônico, via interfone ou aparelho similar, um botão de alarme para acionar a portaria do prédio, em casos de ocorrência de violência doméstica contra mulheres, crianças, adolescentes, idosos ou pessoas com deficiência.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313832;2022;PL;44;Institui a obrigatoriedade da assistência do profissional farmacêutico nas empresas que exercem atividade de transporte de produtos farmacêuticos e farmoquímicos, sujeitos à fiscalização da Agencia Nacional de Vigilância Sanitária e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313833;2022;PL;45;Dispõe sobre a proibição da realização de publicidade de cunho misógino, sexista ou estimuladora de qualquer tipo de violência sexual e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313835;2022;PL;46;Institui a Lei de Defesa do Empreendedor, que estabelece normas de proteção à livre iniciativa e ao livre exercício da atividade econômica, e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313836;2022;PL;47;Institui a Campanha de Conscientização sobre a Depressão Infantil e na Adolescência e dá outras providências;[('Alexandre Frota', 10000, 'Deputado')];925;
2313837;2022;PL;48;Altera o § 3º do artigo 26 da Lei 9.394 de 20 de dezembro de 1996, para fazer inserir a prática de judô nas aulas de Educação Física no currículo escolar e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313838;2022;PL;49;Proíbe a prática de tiro desportivo por menores de dezoito anos e da outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313839;2022;PL;50;Altera a Medida Provisória nº 1.061, de 9
 de agosto de 2021 e a Lei nº 8.742, de 7
 de dezembro de 1993, para incluir
 dispositivos que estendem a concessão
 de gratificação natalina aos que recebem
 benefícios financeiros do Programa 
Auxílio Brasil e o Benefício de Prestação
Continuada (BPC).;[('Pompeo de Mattos', 10000, 'Deputado')];925;
2313840;2022;PL;51;Torna obrigatória a presença de fisioterapeuta profissional nas instituições de saúde física, academias de ginastica e similares para acompanhar os alunos com deficiência físico-funcional, doença musculoesquelética, cardiovascular, pulmonar e/ou metabólica.;[('Alexandre Frota', 10000, 'Deputado')];925;
2313841;2022;PL;52;Dispõe sobre a elaboração de estatística sobre a violência contra a população LGBTQIA+ e contra a população preta e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];932;
2313842;2022;PL;53;Institui o dia nacional de combate a gordofobia e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313843;2022;PL;54;Dispõe sobre a isenção do pagamento da taxa de inscrição em concursos públicos, para pessoas com deficiência e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];907;
2313844;2022;PL;55;Proíbe o transporte de arma de fogo sob efeito de álcool ou outras drogas e dá outras providências.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313845;2022;PL;56;Obriga os condomínios residenciais, comerciais e industriais do Estado a comunicarem aos órgãos de segurança pública a ocorrência, em suas dependências, de violência contra pessoas com deficiência.;[('Alexandre Frota', 10000, 'Deputado')];None;
2313846;2022;PL;57;Altera a Lei nº 8.069, de 13 de julho de 1990,
 para tratar do piso salarial profissional para
 os Conselheiros Tutelares.;[('Pompeo de Mattos', 10000, 'Deputado')];925;
2313847;2022;PL;58;Altera a Lei n° 13.992, de 22 de abril de 2020, para prorrogar a suspensão da obrigatoriedade da manutenção das metas quantitativas e qualitativas contratualizadas pelos prestadores de serviço de saúde, de qualquer natureza, no âmbito do Sistema Único de Saúde (SUS).;[('Antonio Brito', 10000, 'Deputado')];None;
2313848;2022;PL;59;Cria o Programa Dinheiro Direto na Escola para promoção da sustentabilidade (PDDE Sustentável).;[('Professor Israel Batista', 10000, 'Deputado'), ('Tabata Amaral', 10000, 'Deputado')];915;
2313849;2022;PL;60;Dispõe sobre a remissão e a prorrogação de parcelas de dívidas originárias de operações de crédito rural de responsabilidade de produtores cuja produção da safra do ciclo agrícola 2021/2022 tenha sido prejudicada em razão de excesso hídrico.;[('Zé Silva', 10000, 'Deputado')];925;
2313850;2022;PL;62;Altera as Leis nº 11.771, de 17 de setembro de 2008, que dispõe sobre a Política Nacional de Turismo, e 8.970, de 28 de dezembro de 1994, que transformou a CPRM em empresa pública com funções de Serviço Geológico do Brasil, para prever a elaboração periódica de laudos geológico-geotécnicos em pontos atrativos e turísticos naturais que apresentem risco para os turistas.;[('Zé Silva', 10000, 'Deputado')];907;
2313851;2022;PL;63;Discorre sobre a criação do "Dia do Eleitor".;[('José Nelto', 10000, 'Deputado')];None;
2313852;2022;PL;64;Discorre sobre a regulamentação de faróis auxiliares para motocicletas.;[('José Nelto', 10000, 'Deputado')];907;
2313853;2022;PL;65;Dispõe sobre a divulgação de informações sobre a destinação dos recursos derivados de multas de trânsito.;[('José Nelto', 10000, 'Deputado')];907;
2313854;2022;PL;66;Dispõe sobre a obrigatoriedade de afixação de cartazes informando o contato dos Conselhos Tutelares nos estabelecimentos de ensino público e privados.;[('José Nelto', 10000, 'Deputado')];915;
2313855;2022;PL;67;Acrescenta o inciso V I a o art. 206, §1º da Lei nº 10.406, de 10 de janeiro de 2002, que institui o Código Civil.;[('Leda Sadala', 10000, 'Deputado')];907;
2313856;2022;PL;68;Veda a realização de atividades comerciais, turísticas, desportivas ou recreativas em áreas de risco de desastre, alterando a Lei nº 12.608, de 10 de abril de 2012, a Lei nº 12.340, de 1o de dezembro de 2010, a Lei nº 12.651, de 25 de maio de 2012 (Código Florestal), Lei nº 9.605, de 12 de fevereiro de 1998 e o Decreto-Lei no 2.848, de 7 de dezembro de 1940 (Código Penal).;[('Túlio Gadêlha', 10000, 'Deputado')];907;
2313857;2022;PL;69;Dispõe sobre a garantia de acesso do cidadão aos espaços de divulgação de informações e opiniões de agente público nas redes sociais.;[('Denis Bezerra', 10000, 'Deputado')];907;
2313858;2022;PL;70;Regulamenta o exercício da atividade esportiva eletrônica no Brasil.;[('Fausto Pinato', 10000, 'Deputado')];915;
2313859;2022;PL;71;Altera a Lei º 12.114, de 9 de dezembro
 de 2009, para permitir a destinação de 
recursos do Fundo Nacional sobre Mudança
 do Clima (FNMC) para enfrentamento de 
desastres naturais.;[('José Nelto', 10000, 'Deputado')];907;
2313860;2022;PL;72;Alterar a Lei nº 9.503, de 23 de setembro de 1997, que Institui o Código de Trânsito Brasileiro, DOS CRIMES DE TRÂNSITO.;[('Severino Pessoa', 10000, 'Deputado')];925;
2313863;2022;PL;73;Estabelece o ressarcimento ao SUS pelas despesas realizadas com o atendimento, internações e tratamentos decorrentes da COVID-19 em pacientes não vacinados.;[('André Figueiredo', 10000, 'Deputado')];None;
2313865;2022;PL;74;Dispõe sobre penalidades administrativas contra práticas de atos de discriminação por motivo religioso.;[('Pedro Augusto Bezerra', 10000, 'Deputado')];925;
2313872;2022;PL;75;Institui o Índice Nacional de Insumos para a Produção de Leite Cru - ILC e define competência do Instituto Brasileiro de Geografia e Estatística – IBGE.;[('Vitor Hugo', 10000, 'Deputado')];907;
2313874;2022;PL;76;Altera a Lei n.º 13.180, de 22 de outubro de 2015, acrescentando parágrafo único ao art. 2º, para instituir o conceito de renda complementar para o artesão aposentado por invalidez ou que tenha o Benefício da Prestação Continuada-BPC.;[('Otavio Leite', 10000, 'Deputado')];None;
2313875;2022;PL;78;Dispõe sobre a possibilidade de cobrança pela exibição de notícias em plataformas digitais.;[('José Nelto', 10000, 'Deputado')];925;
2313880;2022;PL;79;Dispõe sobre instituir melhoras significativas na legibilidade dos prazos de fabricação e validade das embalagens.;[('José Nelto', 10000, 'Deputado')];None;
2313884;2022;PL;80;Altera a Lei nº 14.293, de 4 de janeiro de 2022, para permitir acesso ao Programa de Venda em Balcão a pequenos criadores de animais que, embora não detentores de DAP - Pronaf ativa, ou outro documento que venha a substituí-la, enquadrem-se em critérios objetivos estabelecidos para a definição da renda bruta anual vigente no âmbito do Pronaf;[('Capitão Alberto Neto', 10000, 'Deputado')];907;
2313886;2022;PL;81;Dispõe sobre o direito de toda mulher a ter acompanhante, pessoa de sua livre escolha, nas consultas e exames, inclusive os ginecológicos, nos estabelecimentos públicos e privados.;[('Julio Cesar Ribeiro', 10000, 'Deputado')];926;
2313897;2022;PL;82;Acresce dispositivo à Lei N° 10.714, de 13 de agosto de 2003, a fim de disciplinar o cumprimento de critérios de acessibilidade no serviço de atendimento destinado a atender denúncias de violência contra a mulher a que se refere a Lei N° 10.714, de 13 de agosto de 2003.;[('Felipe Rigoni', 10000, 'Deputado')];907;
2313899;2022;PL;83;Institui o auxilio emergencial para situacoes decorrentes de secas e enchentes;[('Áurea Carolina', 10000, 'Deputado'), ('Fernanda Melchionna', 10000, 'Deputado'), ('Glauber Braga', 10000, 'Deputado'), ('Ivan Valente', 10000, 'Deputado'), ('Luiza Erundina', 10000, 'Deputado'), ('Sâmia Bomfim', 10000, 'Deputado'), ('Talíria Petrone', 10000, 'Deputado'), ('Vivi Reis', 10000, 'Deputado')];925;
2313901;2022;PL;84;Inscreve o nome de Elza Soares no Livro dos Heróis e Heroínas da Pátria.;[('Talíria Petrone', 10000, 'Deputado')];None;
2313904;2022;PL;85;Dispõe sobre a suspensão do pagamento de operações de financiamento à atividade rural no Estado de Minas Gerais em decorrência da crise provocada por desastres naturais.;[('Pinheirinho', 10000, 'Deputado')];907;
2313905;2022;PL;86;Dispõe sobre concessão de auxílio às famílias durante os períodos de eventuais calamidades, decorrentes de desastre natural.;[('Pinheirinho', 10000, 'Deputado')];925;
2313906;2022;PL;87;Altera a Lei nº 11.445, de 5 de janeiro de 2007, para dispor sobre a alocação de recursos federais para serviços de saneamento básico concedidos pelo critério do maior valor de outorga ou transferido por meio da alienação de ativos ou do controle acionário de empresa estatal.;[('Samuel Moreira', 10000, 'Deputado')];907;
2313907;2022;PL;88;Altera a Lei nº 9.503, de 1997, Código de Trânsito Brasileiro, para dispor sobre inspeções e vistorias veiculares.;[('Lucio Mosquini', 10000, 'Deputado')];925;
2313908;2022;PL;89;Estende a Área de Livre Comércio de Guajará-Mirim – ALCGM ao Município de Costa Marques, no Estado de Rondônia.;[('Lucio Mosquini', 10000, 'Deputado')];907;
2313909;2022;PL;90;Inscreve no Livro dos Heróis e Heroínas da Pátria o nome de OLAVO LUIZ PIMENTEL DE CARVALHO;[('Carla Zambelli', 10000, 'Deputado'), ('Carlos Jordy', 10000, 'Deputado'), ('Coronel Tadeu', 10000, 'Deputado'), ('Daniel Silveira', 10000, 'Deputado'), ('Filipe Barros', 10000, 'Deputado'), ('Junio Amaral', 10000, 'Deputado'), ('Luiz Philippe de Orleans e Bragança', 10000, 'Deputado'), ('Major Fabiana', 10000, 'Deputado'), ('Sanderson', 10000, 'Deputado')];907;
2313915;2022;PL;91;Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para incluir a imunoterapia como modalidade terapêutica no Sistema Único de Saúde (SUS).;[('Hildo Rocha', 10000, 'Deputado')];925;
2313916;2022;PL;92;Altera a Lei nº 9.656, de 3 de junho de 1998, para dispor sobre a limitação do reajuste das mensalidades devidas pelos beneficiários ao índice de referência do sistema de metas para a inflação, durante a vigência da Emergência em Saúde Pública de Importância Nacional em decorrência da Covid-19.;[('José Guimarães', 10000, 'Deputado')];925;
2313918;2022;PL;93;Dispõe sobre a isenção de contribuição de iluminação pública e esgoto; e inclui os consumidores beneficiários de Programas Habitacionais ao programa de Tarifa Social de Energia Elétrica.;[('Pedro Augusto Bezerra', 10000, 'Deputado')];925;
2313919;2022;PL;94;Dispõe sobre a concessão do benefício previdenciário de auxílio por incapacidade temporária, no Regime Geral de Previdência Social, na falta de realização de perícia médica oficial.;[('Rubens Bueno', 10000, 'Deputado')];925;
2313923;2022;PL;95;Inscreve o nome de Olavo de Carvalho – Olavo Luiz Pimentel de Carvalho – no Livro dos Heróis e Heroínas da Pátria.;[('Bia Kicis', 10000, 'Deputado')];925;
2313924;2022;PL;96;Acrescenta inciso ao art. 473 da Consolidação das Leis do Trabalho (CLT), para permitir que o empregado se ausente do trabalho a fim de acompanhar o filho em internação em estabelecimento de saúde.;[('Diego Garcia', 10000, 'Deputado')];None;
2313929;2022;PL;97;Altera dispositivos da Lei nº 8.906, de 4 de julho de 1994 (Estatuto da Advocacia e a Ordem dos Advogados do Brasil – OAB) e da Lei nº 10.826, de 22 de dezembro de 2003, para permitir o uso de arma de fogo em todo o território nacional para advogados devidamente inscritos na OAB.;[('Professor Joziel', 10000, 'Deputado')];None;
2313931;2022;PL;98;Dispõe sobre a regulamentação das profissões de Tirador e Descascador de Coco.;[('Nivaldo Albuquerque', 10000, 'Deputado')];907;
2313932;2022;PL;99;Altera a Lei nº 8.906, de 4 de julho de 1994, para dispor sobre a eleição direta do Presidente do Conselho Federal da Ordem dos Advogados do Brasil.;[('Jefferson Campos', 10000, 'Deputado')];925;
2313933;2022;PL;100;Obriga toda publicidade que promova a venda de veículos automotivos a incorporar texto visível ou gravação sonora que indique a necessidade de se obedecer aos limites de velocidade vigentes no País.;[('Flávio Nogueira', 10000, 'Deputado')];907;
2313934;2022;PL;101;Altera a Lei nº 12.244, de 24 de maio de 2010, para assegurar a existência de acervo de livros nas salas de aula da pré-escola e dos anos iniciais do ensino fundamental.;[('Pastor Gil', 10000, 'Deputado')];907;
2313937;2022;PL;102;Insere crimes relacionados à pedofilia, no rol dos crimes hediondos, previsto na Lei nº 8.072, de 25 de julho de 1990;[('Rejane Dias', 10000, 'Deputado')];923;
2313939;2022;PL;103;Altera a Lei nº 10.048, de 8 de novembro de 2000 que dá prioridade de atendimento às pessoas que específica, para incluir as pessoas que são portadores de diabete.;[('Rejane Dias', 10000, 'Deputado')];925;
2313941;2022;PL;104;Altera a Lei nº 8.213, de 24 de junho de 1991, para equipara a acidente de trabalho, para fins previdenciários, a morte e incapacidade temporária ou permanente de segurados do Regime Geral de Previdência Social – RGPS decorrentes de covid-19, e dá outras providências.;[('Rejane Dias', 10000, 'Deputado')];925;
2313942;2022;PL;105;Altera a Lei nº 9.656, de 3 de junho de 1998, para dispor sobre o atendimento prestado pelas operadoras de planos privados de assistência à saúde às pessoas com deficiência e às pessoas com doenças raras.;[('João Daniel', 10000, 'Deputado')];907;
2313944;2022;PL;106;Altera a Lei nº 4.591, de 16 de dezembro de 1964, que dispõe sobre o condomínio em edificações e as incorporações imobiliárias, para prever a comunicação pelos condomínios aos órgãos especializados de suspeita ou ocorrência de maus-tratos a animais nas unidades condominiais ou nas áreas comuns aos condôminos.;[('Ricardo Izar', 10000, 'Deputado')];907;
2313946;2022;PL;107;Altera a Lei nº 8.036, de 1990, que dispõe sobre o Fundo de Garantia do Tempo de Serviço, e dá outras providências, para permitir a utilização do FGTS para pagamento de mensalidade escolar do ensino superior do trabalhador, de seu cônjuge e de seus dependentes.;[('Pastor Gil', 10000, 'Deputado')];925;
2313951;2022;PL;108;Altera a Lei nº 14.034, de 5 de agosto de 2020, que dispõe sobre medidas emergenciais para a aviação civil brasileira em razão da pandemia da Covid-19, para ampliar a data até a qual a desistência do voo enseja reembolso em condições extraordinárias.;[('José Medeiros', 10000, 'Deputado')];925;
2313953;2022;PL;109;Cria a Rota Turística da Quarta Colônia.;[('Osmar Terra', 10000, 'Deputado')];907;
2313959;2022;PL;110;Altera a Lei 9.986, de 18 de julho de 2000, para estabelecer vedação à indicação para o Conselho Diretor ou a Diretoria Colegiada das Agências Reguladores nas hipóteses em que especifica.;[('Rubens Pereira Júnior', 10000, 'Deputado')];925;
2313960;2022;PL;111;Acrescenta parágrafos 2º-A, 2º-B e 2º-C ao artigo 25 da Lei 9.605, de 12 de fevereiro de 1998, para estabelecer proteção aos animais apreendidos em situação de maus-tratos.;[('Rubens Pereira Júnior', 10000, 'Deputado')];925;
2313961;2022;PL;112;Altera os artigos 348 e 349 do Decreto-Lei 2.848 de 7 de dezembro de 1940 – Código Penal, para aumentar a pena dos crimes de favorecimento pessoal e real.;[('Rubens Pereira Júnior', 10000, 'Deputado')];925;
2313962;2022;PL;113;Altera o artigo 268 do Decreto-Lei 2.848 de 7 de dezembro de 1940 - Código Penal, para aumentar a pena do delito de infração de medida sanitária.;[('Rubens Pereira Júnior', 10000, 'Deputado')];925;
2313963;2022;PL;114;Acrescenta §5º ao artigo 297 do Decreto-Lei 2.848 de 7 de dezembro de 1940 - Código Penal, para dispor sobre falsificação ou alteração do cartão vacinal ou comprovante de vacinação.;[('Rubens Pereira Júnior', 10000, 'Deputado')];907;
